"Tipo de información","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices"
"Fecha","897530","897531","897686","897738","897763","897819","897847","897868","897904","897949"
"Ene 2018","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E"
"Feb 2018","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E"
"Mar 2018","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E"
"Abr 2018","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E"
"Mar 2019","102.476000000000","102.452000000000","102.495000000000","101.291000000000","100.176000000000","105.761000000000","105.494000000000","103.608000000000","102.571000000000","102.410000000000"
"Abr 2019","102.893000000000","103.511000000000","102.385000000000","100.266000000000","100.559000000000","106.610000000000","107.396000000000","103.568000000000","103.085000000000","103.105000000000"
"May 2019","102.861000000000","103.555000000000","102.293000000000","100.119000000000","100.430000000000","107.011000000000","108.159000000000","102.817000000000","102.699000000000","104.384000000000"
"Jun 2019","102.801000000000","103.609000000000","102.705000000000","99.198000000000","100.593000000000","107.133000000000","108.897000000000","103.055000000000","102.371000000000","105.046000000000"
"Jul 2019","102.952000000000","103.951000000000","101.898000000000","98.811000000000","100.859000000000","107.321000000000","108.658000000000","103.614000000000","103.092000000000","105.380000000000"
"Ago 2019","103.376000000000","103.774000000000","103.786000000000","100.162000000000","101.815000000000","107.084000000000","109.830000000000","103.693000000000","103.712000000000","105.257000000000"
"Sep 2019","103.517000000000","103.542000000000","104.839000000000","100.577000000000","101.634000000000","107.427000000000","111.687000000000","103.837000000000","104.277000000000","104.498000000000"
"Oct 2019","103.891000000000","103.958000000000","105.279000000000","101.878000000000","101.881000000000","107.506000000000","111.093000000000","103.002000000000","104.208000000000","105.216000000000"
"Nov 2019","104.405000000000","104.833000000000","105.718000000000","102.400000000000","102.347000000000","107.605000000000","110.670000000000","103.097000000000","104.255000000000","105.244000000000"
"Dic 2019","104.948000000000","105.410000000000","105.432000000000","102.895000000000","102.709000000000","107.451000000000","112.359000000000","103.805000000000","105.105000000000","105.557000000000"
"Ene 2020","105.438000000000","106.420000000000","104.954000000000","102.650000000000","103.313000000000","107.219000000000","112.772000000000","104.313000000000","104.939000000000","107.065000000000"
"Feb 2020","105.184000000000","105.862000000000","107.191000000000","101.377000000000","103.469000000000","107.431000000000","112.826000000000","104.725000000000","105.137000000000","107.868000000000"
"Mar 2020","105.896000000000","107.313000000000","107.043000000000","101.637000000000","104.061000000000","108.038000000000","112.633000000000","104.639000000000","105.348000000000","108.305000000000"
"Abr 2020","105.834000000000","108.543000000000","105.663000000000","101.127000000000","105.595000000000","109.869000000000","113.580000000000","98.935000000000","105.803000000000","108.227000000000"
"May 2020","105.989000000000","109.093000000000","98.810000000000","101.721000000000","104.600000000000","110.583000000000","114.438000000000","100.926000000000","105.339000000000","107.920000000000"
"Jun 2020","107.469000000000","110.454000000000","102.494000000000","102.374000000000","106.626000000000","109.096000000000","115.874000000000","104.787000000000","105.826000000000","108.643000000000"
"Jul 2020","108.598000000000","111.340000000000","104.770000000000","102.687000000000","109.031000000000","110.547000000000","117.490000000000","107.658000000000","105.735000000000","109.244000000000"
"Ago 2020","108.797000000000","111.107000000000","105.359000000000","104.309000000000","109.405000000000","111.406000000000","117.220000000000","106.970000000000","105.478000000000","109.182000000000"
"Sep 2020","109.070000000000","110.863000000000","105.249000000000","104.623000000000","110.546000000000","111.512000000000","119.313000000000","107.744000000000","107.133000000000","108.765000000000"
"Oct 2020","109.856000000000","111.810000000000","105.575000000000","105.891000000000","111.521000000000","112.113000000000","119.134000000000","108.199000000000","107.177000000000","109.028000000000"
"Nov 2020","109.956000000000","112.432000000000","104.619000000000","106.173000000000","109.648000000000","111.809000000000","118.869000000000","107.461000000000","107.186000000000","110.160000000000"
"Dic 2020","110.227000000000","112.080000000000","107.966000000000","106.317000000000","111.955000000000","111.337000000000","120.068000000000","107.657000000000","107.464000000000","110.432000000000"
"Ene 2021","110.562000000000","111.811000000000","107.605000000000","107.819000000000","111.434000000000","112.147000000000","119.795000000000","109.755000000000","107.368000000000","109.546000000000"
"Feb 2021","111.138000000000","112.605000000000","107.674000000000","107.405000000000","114.505000000000","112.279000000000","119.529000000000","110.321000000000","107.872000000000","111.367000000000"
"Mar 2021","112.477000000000","115.088000000000","106.565000000000","108.424000000000","114.948000000000","111.981000000000","119.201000000000","111.626000000000","108.141000000000","111.703000000000"
