"Instituto Nacional de Estadística y Geografía",
"",
"20. Oaxaca (mensual)",
"Fecha de consulta: 19/04/2025 21:23:33",

"Título","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 20 Oaxaca, Índice de precios al consumidor, por objeto del gasto, Índice general","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 20 Oaxaca, Índice de precios al consumidor, por objeto del gasto, Índice general, 1. Alimentos, bebidas y tabaco","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 20 Oaxaca, Índice de precios al consumidor, por objeto del gasto, Índice general, 2. Ropa, calzado y accesorios","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 20 Oaxaca, Índice de precios al consumidor, por objeto del gasto, Índice general, 3. Vivienda","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 20 Oaxaca, Índice de precios al consumidor, por objeto del gasto, Índice general, 4. Muebles, aparatos y accesorios domésticos","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 20 Oaxaca, Índice de precios al consumidor, por objeto del gasto, Índice general, 5. Salud y cuidado personal, 5.1. Salud","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 20 Oaxaca, Índice de precios al consumidor, por objeto del gasto, Índice general, 5. Salud y cuidado personal, 5.2. Cuidado personal","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 20 Oaxaca, Índice de precios al consumidor, por objeto del gasto, Índice general, 6. Transporte","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 20 Oaxaca, Índice de precios al consumidor, por objeto del gasto, Índice general, 7. Educación y esparcimiento","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), por entidad federativa, 20 Oaxaca, Índice de precios al consumidor, por objeto del gasto, Índice general, 8. Otros servicios"
"Periodo disponible","Jul 2018-Mar 2025","Jul 2018-Mar 2025","Jul 2018-Mar 2025","Jul 2018-Mar 2025","Jul 2018-Mar 2025","Jul 2018-Mar 2025","Jul 2018-Mar 2025","Jul 2018-Mar 2025","Jul 2018-Mar 2025","Jul 2018-Mar 2025"
"Periodicidad","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual","Mensual"
"Cifra","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices"
"Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad"
"Base","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100"
"Aviso","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  "
"Tipo de información","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices"
"Fecha","903120","903121","903276","903328","903353","903409","903437","903458","903494","903539"
"Ene 2018","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E"
"Feb 2018","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E"
"Mar 2018","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E"
"Abr 2018","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E"
"May 2018","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E"
"Jun 2018","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E"
"Jul 2018","100.000000000000","100.000000000000","100.000000000000","100.000000000000","100.000000000000","100.000000000000","100.000000000000","100.000000000000","100.000000000000","100.000000000000"
"Ago 2018","100.377000000000","100.523000000000","100.198000000000","100.116000000000","100.172000000000","99.707000000000","100.676000000000","100.611000000000","100.475000000000","100.269000000000"
"Sep 2018","101.147000000000","101.495000000000","101.222000000000","100.970000000000","100.885000000000","99.788000000000","100.107000000000","101.532000000000","101.141000000000","100.517000000000"
"Oct 2018","101.952000000000","101.804000000000","102.006000000000","103.005000000000","101.295000000000","100.472000000000","99.952000000000","103.099000000000","101.184000000000","101.136000000000"
"Nov 2018","102.435000000000","103.081000000000","102.002000000000","102.393000000000","101.766000000000","100.600000000000","100.468000000000","103.325000000000","101.385000000000","101.485000000000"
"Dic 2018","103.344000000000","104.690000000000","102.422000000000","102.225000000000","102.430000000000","100.743000000000","101.106000000000","104.568000000000","101.806000000000","102.490000000000"
"Ene 2019","103.518000000000","105.175000000000","102.841000000000","102.111000000000","102.181000000000","101.442000000000","100.611000000000","104.147000000000","102.025000000000","102.896000000000"
"Feb 2019","103.456000000000","104.332000000000","103.133000000000","102.166000000000","102.259000000000","101.682000000000","101.305000000000","104.860000000000","102.599000000000","103.830000000000"
"Mar 2019","103.755000000000","104.163000000000","103.686000000000","102.458000000000","102.328000000000","101.864000000000","101.803000000000","106.398000000000","102.776000000000","104.645000000000"
"Abr 2019","103.729000000000","104.270000000000","103.851000000000","100.903000000000","103.523000000000","102.326000000000","102.477000000000","106.840000000000","103.206000000000","105.014000000000"
"May 2019","103.810000000000","104.692000000000","103.722000000000","100.842000000000","101.957000000000","102.173000000000","103.126000000000","106.567000000000","103.637000000000","105.089000000000"
"Jun 2019","104.056000000000","105.154000000000","104.240000000000","100.478000000000","102.687000000000","102.703000000000","103.344000000000","106.792000000000","103.881000000000","105.139000000000"
"Jul 2019","105.074000000000","107.321000000000","104.331000000000","100.024000000000","103.241000000000","103.279000000000","104.315000000000","107.996000000000","104.174000000000","105.611000000000"
"Ago 2019","104.914000000000","106.760000000000","105.014000000000","99.963000000000","103.905000000000","103.963000000000","104.791000000000","107.473000000000","104.251000000000","105.681000000000"
"Sep 2019","104.860000000000","106.496000000000","105.386000000000","99.905000000000","103.522000000000","104.887000000000","105.353000000000","107.529000000000","104.515000000000","105.402000000000"
"Oct 2019","105.346000000000","106.755000000000","105.735000000000","101.688000000000","103.178000000000","105.125000000000","105.656000000000","107.416000000000","104.641000000000","105.973000000000"
"Nov 2019","105.765000000000","107.562000000000","105.547000000000","102.041000000000","104.640000000000","105.016000000000","105.514000000000","107.142000000000","104.580000000000","106.339000000000"
"Dic 2019","106.453000000000","108.730000000000","105.675000000000","102.359000000000","104.757000000000","105.491000000000","106.441000000000","107.867000000000","105.093000000000","106.405000000000"
"Ene 2020","106.937000000000","109.864000000000","105.623000000000","102.138000000000","105.161000000000","106.054000000000","106.443000000000","108.113000000000","104.759000000000","107.137000000000"
"Feb 2020","107.464000000000","110.923000000000","105.525000000000","102.366000000000","105.598000000000","106.825000000000","106.685000000000","108.191000000000","105.061000000000","107.176000000000"
"Mar 2020","108.124000000000","113.227000000000","105.919000000000","102.744000000000","105.763000000000","106.670000000000","106.753000000000","105.622000000000","104.927000000000","107.175000000000"
"Abr 2020","107.172000000000","113.316000000000","103.494000000000","101.135000000000","105.212000000000","107.174000000000","106.901000000000","100.819000000000","104.993000000000","107.174000000000"
"May 2020","108.197000000000","115.359000000000","102.054000000000","101.791000000000","105.381000000000","107.964000000000","109.054000000000","101.617000000000","105.035000000000","107.175000000000"
"Jun 2020","108.496000000000","115.005000000000","101.906000000000","102.124000000000","107.576000000000","107.995000000000","109.077000000000","103.548000000000","105.568000000000","107.174000000000"
"Jul 2020","108.822000000000","114.582000000000","103.607000000000","102.358000000000","107.864000000000","107.976000000000","109.381000000000","105.933000000000","105.020000000000","108.353000000000"
"Ago 2020","109.016000000000","114.638000000000","104.466000000000","102.541000000000","108.576000000000","108.427000000000","110.656000000000","105.965000000000","105.198000000000","108.040000000000"
"Sep 2020","108.950000000000","114.045000000000","105.321000000000","102.562000000000","109.651000000000","109.309000000000","110.483000000000","106.362000000000","105.698000000000","107.329000000000"
"Oct 2020","109.907000000000","115.299000000000","105.308000000000","104.415000000000","109.260000000000","109.870000000000","111.011000000000","106.732000000000","105.899000000000","108.217000000000"
"Nov 2020","109.661000000000","115.051000000000","103.551000000000","104.521000000000","109.100000000000","109.992000000000","110.753000000000","106.059000000000","105.973000000000","108.336000000000"
"Dic 2020","109.891000000000","114.254000000000","105.227000000000","105.554000000000","109.761000000000","110.409000000000","111.733000000000","107.114000000000","106.645000000000","108.253000000000"
"Ene 2021","110.943000000000","114.316000000000","106.485000000000","107.263000000000","110.380000000000","111.906000000000","113.491000000000","109.653000000000","107.083000000000","110.560000000000"
"Feb 2021","111.642000000000","114.379000000000","106.933000000000","108.203000000000","110.333000000000","113.472000000000","111.807000000000","111.834000000000","107.804000000000","113.046000000000"
"Mar 2021","112.729000000000","115.985000000000","107.024000000000","109.464000000000","111.165000000000","114.367000000000","111.224000000000","112.368000000000","108.047000000000","114.543000000000"
"Abr 2021","113.271000000000","117.630000000000","108.123000000000","107.572000000000","112.719000000000","114.594000000000","112.175000000000","112.972000000000","107.770000000000","115.054000000000"
"May 2021","113.584000000000","118.671000000000","107.710000000000","107.244000000000","112.426000000000","114.915000000000","112.954000000000","112.547000000000","108.025000000000","115.196000000000"
"Jun 2021","114.344000000000","119.369000000000","107.704000000000","108.295000000000","114.063000000000","114.717000000000","113.948000000000","113.421000000000","108.061000000000","116.301000000000"
"Jul 2021","115.365000000000","120.859000000000","108.486000000000","109.514000000000","114.029000000000","115.506000000000","114.782000000000","114.425000000000","108.390000000000","116.250000000000"
"Ago 2021","115.986000000000","121.905000000000","108.111000000000","109.196000000000","114.569000000000","116.406000000000","115.875000000000","114.830000000000","109.625000000000","117.229000000000"
"Sep 2021","116.837000000000","123.166000000000","109.475000000000","110.124000000000","115.338000000000","116.357000000000","116.298000000000","114.854000000000","110.116000000000","117.752000000000"
"Oct 2021","117.982000000000","124.110000000000","109.703000000000","113.326000000000","116.277000000000","116.413000000000","116.053000000000","114.999000000000","110.739000000000","118.838000000000"
"Nov 2021","118.524000000000","125.955000000000","108.629000000000","113.289000000000","115.491000000000","115.064000000000","115.930000000000","115.169000000000","110.321000000000","119.009000000000"
"Dic 2021","119.101000000000","126.635000000000","110.508000000000","110.882000000000","118.588000000000","116.370000000000","118.741000000000","116.830000000000","110.555000000000","120.964000000000"
"Ene 2022","120.167000000000","127.719000000000","111.279000000000","110.771000000000","120.918000000000","118.312000000000","120.899000000000","118.521000000000","110.793000000000","123.035000000000"
"Feb 2022","121.004000000000","128.904000000000","111.291000000000","111.721000000000","120.945000000000","118.247000000000","122.110000000000","119.180000000000","111.708000000000","123.425000000000"
"Mar 2022","122.575000000000","131.283000000000","112.373000000000","113.431000000000","122.092000000000","119.901000000000","123.526000000000","120.363000000000","111.026000000000","123.972000000000"
"Abr 2022","123.588000000000","133.445000000000","113.406000000000","112.077000000000","122.521000000000","121.571000000000","125.669000000000","121.063000000000","111.408000000000","125.668000000000"
"May 2022","124.787000000000","135.547000000000","114.492000000000","111.980000000000","121.792000000000","121.172000000000","127.634000000000","121.383000000000","111.688000000000","129.545000000000"
"Jun 2022","126.051000000000","138.103000000000","115.221000000000","112.039000000000","124.101000000000","121.548000000000","128.233000000000","122.026000000000","111.425000000000","130.044000000000"
"Jul 2022","127.003000000000","139.515000000000","115.763000000000","112.370000000000","124.957000000000","122.634000000000","130.092000000000","123.233000000000","111.662000000000","130.349000000000"
"Ago 2022","127.945000000000","141.129000000000","116.781000000000","112.320000000000","126.072000000000","122.949000000000","131.307000000000","123.250000000000","111.990000000000","132.331000000000"
"Sep 2022","128.801000000000","142.688000000000","117.636000000000","111.804000000000","127.182000000000","123.539000000000","133.315000000000","123.681000000000","113.767000000000","132.219000000000"
"Oct 2022","129.923000000000","144.538000000000","118.709000000000","112.313000000000","128.554000000000","123.781000000000","133.426000000000","124.787000000000","113.727000000000","133.063000000000"
"Nov 2022","130.349000000000","145.183000000000","119.161000000000","112.006000000000","128.322000000000","123.507000000000","135.573000000000","125.829000000000","113.789000000000","133.496000000000"
"Dic 2022","131.179000000000","146.590000000000","119.787000000000","111.445000000000","130.519000000000","123.561000000000","135.709000000000","127.497000000000","114.224000000000","133.823000000000"
"Ene 2023","131.979000000000","147.717000000000","120.240000000000","111.600000000000","131.054000000000","124.768000000000","137.724000000000","127.561000000000","114.632000000000","135.720000000000"
"Feb 2023","132.188000000000","146.984000000000","120.462000000000","112.282000000000","132.157000000000","125.919000000000","136.820000000000","127.860000000000","115.022000000000","138.691000000000"
"Mar 2023","132.489000000000","146.889000000000","121.164000000000","112.224000000000","131.742000000000","126.684000000000","138.582000000000","129.353000000000","115.166000000000","139.451000000000"
