"Tipo de información","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices"
"Fecha","907850","907851","908006","908058","908083","908139","908167","908188","908224","908269"
"Ene 2018","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E"
"Feb 2018","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E"
"Mar 2018","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E"
"Abr 2018","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E","N/E"
"May 2019","103.596000000000","104.360000000000","102.609000000000","101.626000000000","98.918000000000","105.999000000000","103.824000000000","103.373000000000","104.537000000000","105.971000000000"
"Jun 2019","103.689000000000","104.470000000000","102.927000000000","101.457000000000","98.439000000000","106.518000000000","103.621000000000","103.491000000000","105.311000000000","106.034000000000"
"Jul 2019","104.084000000000","105.101000000000","100.922000000000","101.310000000000","97.912000000000","106.744000000000","102.898000000000","104.694000000000","105.879000000000","107.353000000000"
"Ago 2019","104.136000000000","105.214000000000","100.681000000000","101.583000000000","96.336000000000","106.789000000000","103.897000000000","104.046000000000","106.450000000000","107.950000000000"
"Sep 2019","104.400000000000","105.185000000000","101.269000000000","101.859000000000","97.752000000000","106.439000000000","104.937000000000","104.554000000000","106.663000000000","108.150000000000"
"Oct 2019","105.715000000000","104.961000000000","104.142000000000","109.226000000000","97.477000000000","106.952000000000","104.460000000000","104.414000000000","106.968000000000","108.376000000000"
"Nov 2019","106.314000000000","105.854000000000","105.082000000000","109.770000000000","96.752000000000","107.597000000000","104.551000000000","104.385000000000","107.016000000000","110.077000000000"
"Dic 2019","107.071000000000","106.307000000000","104.604000000000","110.260000000000","96.634000000000","108.478000000000","104.619000000000","105.760000000000","109.836000000000","111.132000000000"
"Ene 2020","107.215000000000","106.647000000000","104.378000000000","110.333000000000","97.568000000000","109.237000000000","106.302000000000","105.602000000000","108.123000000000","111.697000000000"
"Feb 2020","107.432000000000","107.165000000000","103.181000000000","110.416000000000","97.544000000000","110.548000000000","104.964000000000","105.558000000000","108.565000000000","112.288000000000"
